variable_name,question,question_type,answer_label,value
u2_no_vaccine_why,What were the reason(s) that your youngest child did not receive vaccines during February 2021-May 2021? (SELECT_MANY),Select multiple,My doctor or health provider recommended that I wait,14
u2_no_vaccine_why,What were the reason(s) that your youngest child did not receive vaccines during February 2021-May 2021? (SELECT_MANY),Select multiple,Other,99
u2_no_vaccine_why,What were the reason(s) that your youngest child did not receive vaccines during February 2021-May 2021? (SELECT_MANY),Select multiple,Fear of being infected with COVID-19,12
u2_no_vaccine_why,What were the reason(s) that your youngest child did not receive vaccines during February 2021-May 2021? (SELECT_MANY),Select multiple,I preferred to wait until the COVID-19 situation in my area improved,13
u2_no_vaccine_why,What were the reason(s) that your youngest child did not receive vaccines during February 2021-May 2021? (SELECT_MANY),Select multiple,My child was sick,10
u2_no_vaccine_why,What were the reason(s) that your youngest child did not receive vaccines during February 2021-May 2021? (SELECT_MANY),Select multiple,I was sick and could not take my child,9
u2_vaccines,"During February 2021-May 2021, did your youngest child receive any vaccines? (SELECT_ONE)",Select one,Yes,1
u2_vaccines,"During February 2021-May 2021, did your youngest child receive any vaccines? (SELECT_ONE)",Select one,No,0
u2_vaccine_card,Are you using your child's vaccination card as a reference? (SELECT_ONE),Select one,Yes,1
u2_vaccine_card,Are you using your child's vaccination card as a reference? (SELECT_ONE),Select one,No,0
u2_provider_need,"During February2021-May 2021, did your youngest child have a need to see a health provider? (SELECT_ONE)",Select one,Yes,1
u2_provider_need,"During February2021-May 2021, did your youngest child have a need to see a health provider? (SELECT_ONE)",Select one,No,0
u2_vaccine_need_unmet,"Since the start of the global pandemic in March 2020 -April 2020, was there a time when your youngest child needed a vaccine, but could not get it at the right time? (SELECT_ONE)",Select one,No,0
u2_vaccine_need_unmet,"Since the start of the global pandemic in March 2020 -April 2020, was there a time when your youngest child needed a vaccine, but could not get it at the right time? (SELECT_ONE)",Select one,Don't know,77
u2_vaccine_need_unmet,"Since the start of the global pandemic in March 2020 -April 2020, was there a time when your youngest child needed a vaccine, but could not get it at the right time? (SELECT_ONE)",Select one,Yes,1
u2_fever,"When your youngest child needed to see a health provider, did the child have a fever? (SELECT_ONE)",Select one,No,0
u2_fever,"When your youngest child needed to see a health provider, did the child have a fever? (SELECT_ONE)",Select one,Don't know,77
u2_fever,"When your youngest child needed to see a health provider, did the child have a fever? (SELECT_ONE)",Select one,Yes,1
u2_provider_visit,Were they able to see a health provider during February-May 2021? (SELECT_ONE),Select one,"My child saw a provider during this time, but not every time they needed to",2
u2_provider_visit,Were they able to see a health provider during February-May 2021? (SELECT_ONE),Select one,No,0
u2_provider_visit,Were they able to see a health provider during February-May 2021? (SELECT_ONE),Select one,Yes,1
u2_child_count,How many children under the age of two years do you have? (SELECT_ONE),Number,,
u2_child3_age_months,How old is your third youngest child in months? (NUMBER),Number,,
u2_vaccine_count,How many vaccines did your youngest child receive during February 2021-May 2021? (NUMBER),Number,,
u2_child2_age_months,How old is your second youngest child in months? (NUMBER),Number,,
u2_child1_age_months,How old is your youngest child in months? (NUMBER),Number,,
